資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,曜日(発生年月日),祝日(発生年月日),緯度,経度,発生日,発生時,color,発生地点,道路管理者区分,道路区分,道路構造,曲線半径,縦断勾配,トンネル番号,当事者車両台数,車両単独事故の対象物,臨時速度規制の有無,速度規制（臨時のみ）,トンネル延長距離
本票,神奈川,武南,0085,死亡,1,0,00160,下,0174,108,夜－夜,曇,市街地－人口集中,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,19,9,交差点内,規制なし,5,1,車両相互,45～54歳,35～44歳,乗用車－普通車,二輪車－自動二輪－軽二輪－126～250cc,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,40㎞／ｈ以下,70,20,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,土,前日,35.339183,139.623976,2020-02-22,20:18,red,,,,,,,,,,,,
本票,神奈川,浦和東,0043,死亡,1,0,30000,対象外,0000,102,昼－暮,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,19,9,交差点内,規制なし,5,2,人対車両,35～44歳,75歳以上,貨物車－大型車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,35.467992,139.635483,2020-02-07,16:33,red,,,,,,,,,,,,
本票,神奈川,浦和東,0056,死亡,1,0,15010,対象外,0000,102,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,15,9,交差点内,規制なし,5,1,人対車両,45～54歳,65～74歳,乗用車－大型車,歩行者,事業用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,40,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,35.469508,139.624693,2020-02-18,18:35,red,,,,,,,,,,,,
本票,神奈川,千葉東,0037,死亡,1,0,00160,上,0037,106,昼－明,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,19,9,交差点内,規制なし,5,1,車両相互,55～64歳,35～44歳,乗用車－普通車,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,40,10,中破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,35.463422,139.592296,2020-02-05,07:34,red,,,,,,,,,,,,
本票,神奈川,鎌ケ谷,0041,死亡,1,0,30000,対象外,0000,111,夜－明,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,35～44歳,75歳以上,貨物車－普通車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,35.402170,139.571944,2020-02-06,05:39,red,,,,,,,,,,,,
本票,神奈川,旭,0087,死亡,1,1,30440,対象外,0000,112,夜－夜,曇,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－歩車分式,09,22,09,22,19,9,交差点内,規制なし,5,1,車両相互,45～54歳,25～34歳,乗用車－普通車,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,80,10,中破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,35.457464,139.563006,2020-02-27,02:55,red,,,,,,,,,,,,
本票,神奈川,幸,0033,死亡,1,0,04091,対象外,0000,132,夜－明,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,1,人対車両,45～54歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,35.539349,139.697464,2020-02-12,05:50,red,,,,,,,,,,,,
本票,神奈川,宮前,0053,死亡,1,0,30950,対象外,0000,136,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,0～24歳,55～64歳,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,その他,35.595841,139.557367,2020-02-16,02:35,red,,,,,,,,,,,,
本票,神奈川,宮前,0059,死亡,1,0,30960,対象外,0000,136,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,15,8,交差点内,規制なし,4,2,車両相互,65～74歳,0～24歳,乗用車－軽自動車,二輪車－自動二輪－原付二種－51～125cc,自家用,自家用,乗用車,対象外当事者,40㎞／ｈ以下,40㎞／ｈ以下,80,10,中破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,35.598460,139.585612,2020-02-18,20:14,red,,,,,,,,,,,,
本票,神奈川,大和,0132,死亡,1,1,30000,対象外,0000,218,夜－夜,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,15,6,交差点内,規制なし,4,2,車両相互,0～24歳,不明,二輪車－自動二輪－原付二種－51～125cc,対象外当事者,自家用,対象外当事者,対象外当事者,対象外当事者,30㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,日,その他,35.441802,139.412089,2020-02-16,03:51,red,,,,,,,,,,,,
本票,神奈川,大和,0167,死亡,1,0,10500,対象外,0000,213,夜－夜,曇,市街地－その他,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,車両単独,45～54歳,不明,二輪車－自動二輪－軽二輪－126～250cc,相手なし,自家用,対象外当事者,対象外当事者,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,木,その他,35.500918,139.442114,2020-02-27,19:52,red,,,,,,,,,,,,
本票,神奈川,津久井,0026,死亡,1,0,04130,対象外,0000,151,夜－夜,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,6,単路（交差点付近を含む）,規制なし,4,2,車両相互,45～54歳,65～74歳,乗用車－大型車,乗用車－軽自動車,事業用,自家用,乗用車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,11,10,中破,大破,その他,装備あり 作動,その他,装備あり 作動,損傷なし,死亡,水,その他,35.598568,139.225517,2020-02-19,22:40,red,,,,,,,,,,,,
本票,新潟,滝川,0009,死亡,1,0,37700,対象外,0000,108,夜－明,曇,市街地－人口集中,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,65～74歳,75歳以上,貨物車－中型車,歩行者,事業用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,37.757506,138.892222,2020-02-19,06:21,red,,,,,,,,,,,,
本票,新潟,小樽,0022,死亡,1,0,37730,対象外,0000,204,昼－昼,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,15,9,交差点内,規制なし,5,2,人対車両,55～64歳,75歳以上,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,当日,37.627539,138.986792,2020-02-11,14:12,red,,,,,,,,,,,,
本票,新潟,浦河,0010,死亡,1,0,02520,対象外,0000,205,昼－昼,雪,非市街地,舗装－積雪,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,6,その他,規制なし,4,2,車両単独,0～24歳,不明,乗用車－普通車,相手なし,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,死亡,対象外当事者,火,その他,37.226100,138.644192,2020-02-18,15:19,red,,,,,,,,,,,,
本票,山梨,西,0025,死亡,1,2,30000,対象外,0000,208,夜－夜,曇,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,15,9,交差点内,規制なし,5,2,車両相互,45～54歳,65～74歳,乗用車－軽自動車,乗用車－軽自動車,自家用,自家用,乗用車,乗用車,40㎞／ｈ以下,40㎞／ｈ以下,50,80,小破,中破,装備あり 作動,装備あり 作動,その他,その他,負傷,死亡,土,その他,35.618056,138.464454,2020-02-08,21:15,red,,,,,,,,,,,,
本票,長野,高速道路交通警察隊,0009,死亡,1,2,42620,下,2250,384,昼－明,雪,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,その他,規制なし,1,4,車両単独,45～54歳,不明,貨物車－準中型車,物件等,自家用,対象外当事者,貨物車,対象外当事者,80㎞／ｈ以下,対象外当事者,51,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,死亡,対象外当事者,火,その他,35.701923,137.910035,2020-02-18,07:10,red,2250,中日本高速道路,路肩,08,9,0,,2,該当なし,0,00,0
本票,静岡,高速道路交通警察隊,0033,死亡,1,0,42820,下,0000,103,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,1,3,車両単独,55～64歳,不明,乗用車－軽自動車,物件等,自家用,対象外当事者,乗用車,対象外当事者,80㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,死亡,対象外当事者,月,その他,35.140539,138.517396,2020-02-17,08:40,red,1020,中日本高速道路,路肩,06,9,0,,1,防護柵－ガードレール,2,07,0
本票,静岡,高速道路交通警察隊,0035,死亡,1,0,42710,上,0000,135,夜－夜,晴,非市街地,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,05,9,単路（交差点付近を含む）,規制なし,1,3,人対車両,35～44歳,0～24歳,貨物車－準中型車,歩行者,事業用,対象外当事者,貨物車,対象外当事者,80㎞／ｈ以下,対象外当事者,50,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,34.763074,137.726400,2020-02-18,05:10,red,2361,中日本高速道路,走行車線－第二通行帯以上,06,9,0,,4,該当なし,0,00,0
本票,静岡,中央,0036,死亡,1,0,23480,対象外,0000,301,夜－夜,雨,市街地－その他,舗装－湿潤,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,3,単路（交差点付近を含む）,規制なし,4,3,人対車両,0～24歳,65～74歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,30㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,34.774203,139.037599,2020-02-26,18:41,red,,,,,,,,,,,,
本票,静岡,中央,0037,死亡,1,0,99000,対象外,0000,305,昼－昼,雨,非市街地,舗装－湿潤,一般交通の場所,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,00,0,その他,規制なし,0,4,車両単独,65～74歳,不明,乗用車－普通車,物件等,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,30,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,死亡,対象外当事者,木,その他,34.725861,138.742873,2020-02-27,08:32,red,,,,,,,,,,,,
本票,静岡,東,0102,死亡,1,1,00010,上,1065,325,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,4,単路（交差点付近を含む）,規制なし,4,2,車両単独,35～44歳,不明,二輪車－自動二輪－小型二輪－401～750ｃｃ,相手なし,自家用,対象外当事者,対象外当事者,対象外当事者,50㎞／ｈ以下,対象外当事者,41,00,大破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,日,その他,35.163656,139.003253,2020-02-09,10:59,red,,,,,,,,,,,,
本票,静岡,岩見沢,0190,死亡,1,0,10170,対象外,0000,203,夜－明,晴,市街地－その他,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,3,単路（交差点付近を含む）,規制なし,4,3,人対車両,25～34歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,80,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,土,その他,34.969360,138.774808,2020-02-08,05:58,red,,,,,,,,,,,,
本票,静岡,三戸,0136,死亡,1,0,00520,下,0099,103,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,6,単路（交差点付近を含む）,規制なし,4,2,車両単独,45～54歳,不明,二輪車－自動二輪－小型二輪－751ｃｃ以上,相手なし,自家用,対象外当事者,対象外当事者,対象外当事者,50㎞／ｈ以下,対象外当事者,41,00,大破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,土,その他,35.131494,138.519680,2020-02-08,16:00,red,,,,,,,,,,,,
本票,静岡,三戸,0140,死亡,1,0,24070,対象外,0000,103,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－押ボタン式,09,22,00,23,17,9,交差点内,規制なし,5,2,人対車両,75歳以上,75歳以上,貨物車－軽自動車,歩行者,自家用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,前日,35.010437,138.465434,2020-02-10,08:04,red,,,,,,,,,,,,
本票,静岡,三戸,0175,死亡,1,0,24070,対象外,0000,103,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,車両相互,25～34歳,45～54歳,乗用車－普通車,二輪車－自動二輪－小型二輪－751ｃｃ以上,自家用,自家用,乗用車,対象外当事者,50㎞／ｈ以下,50㎞／ｈ以下,20,10,中破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,35.011156,138.471208,2020-02-19,00:18,red,,,,,,,,,,,,
本票,静岡,余市,0058,死亡,1,0,37000,対象外,0000,209,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,55～64歳,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,34.829871,138.186702,2020-02-04,18:32,red,,,,,,,,,,,,
本票,静岡,余市,0082,死亡,1,0,37000,対象外,0000,209,昼－明,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,14,9,交差点内,規制なし,4,2,車両相互,75歳以上,75歳以上,乗用車－軽自動車,軽車両－自転車,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,10,小破,小破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,34.835888,138.176084,2020-02-25,07:07,red,,,,,,,,,,,,
本票,静岡,倶知安,0046,死亡,1,0,10310,対象外,0000,424,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,9,交差点内,規制なし,5,2,車両相互,55～64歳,75歳以上,貨物車－大型車,軽車両－自転車,事業用,対象外当事者,貨物車,対象外当事者,40㎞／ｈ以下,対象外当事者,40,12,小破,大破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,34.747640,138.246930,2020-02-20,14:22,red,,,,,,,,,,,,
本票,富山,赤歌,0085,死亡,1,0,37000,対象外,0000,201,夜－夜,雪,市街地－人口集中,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,14,9,交差点内,規制なし,5,3,人対車両,45～54歳,65～74歳,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,00,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,火,その他,36.660105,137.221474,2020-02-18,00:33,red,,,,,,,,,,,,
本票,富山,芦別,0014,死亡,1,0,37000,対象外,0000,201,夜－夜,雨,非市街地,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,その他,規制なし,5,4,車両単独,65～74歳,不明,軽車両－自転車,相手なし,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,00,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,日,当日,36.572041,137.194734,2020-02-23,00:00,red,,,,,,,,,,,,
本票,富山,門別,0005,死亡,1,0,37000,対象外,0000,205,夜－夜,曇,市街地－その他,舗装－湿潤,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,0～24歳,75歳以上,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,土,その他,36.836470,136.986177,2020-02-08,19:15,red,,,,,,,,,,,,
本票,石川,白石,0049,死亡,1,0,30000,対象外,0000,201,夜－夜,晴,市街地－人口集中,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,9,単路（交差点付近を含む）,規制なし,4,2,人対車両,0～24歳,0～24歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,50㎞／ｈ以下,対象外当事者,50,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,36.580225,136.663946,2020-02-21,00:10,red,,,,,,,,,,,,
本票,石川,美唄,0011,死亡,1,2,55020,下,0152,202,昼－昼,曇,非市街地,舗装－積雪,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,8,単路（交差点付近を含む）,規制なし,4,3,車両相互,55～64歳,65～74歳,乗用車－軽自動車,貨物車－軽自動車,自家用,事業用,乗用車,貨物車,60㎞／ｈ以下,60㎞／ｈ以下,10,40,中破,中破,装備あり 作動,装備あり 作動,その他,その他,負傷,負傷,木,その他,37.157625,136.848992,2020-02-06,16:00,red,,,,,,,,,,,,
本票,福井,砂川,0016,死亡,1,0,10390,対象外,0000,442,昼－昼,晴,非市街地,舗装－乾燥,単路－カーブ・屈折,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,5,単路（交差点付近を含む）,規制なし,4,3,車両単独,55～64歳,不明,二輪車－自動二輪－小型二輪－751ｃｃ以上,物件等,自家用,対象外当事者,対象外当事者,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,金,その他,35.674062,135.968887,2020-02-21,12:20,red,,,,,,,,,,,,
本票,岐阜,千歳,0008,死亡,1,0,30000,対象外,0000,221,夜－夜,雨,非市街地,舗装－湿潤,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,02,9,単路（交差点付近を含む）,規制なし,5,3,車両単独,75歳以上,不明,乗用車－軽自動車,物件等,自家用,対象外当事者,乗用車,対象外当事者,指定の速度規制なし等,対象外当事者,80,00,小破,対象外当事者,装備あり 作動,対象外当事者,その他,対象外当事者,死亡,対象外当事者,木,その他,35.247787,136.642791,2020-02-13,01:10,red,,,,,,,,,,,,
本票,岐阜,栗山,0005,死亡,1,0,00210,下,0751,361,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,09,22,15,9,交差点内,規制なし,4,2,車両相互,45～54歳,0～24歳,貨物車－大型車,軽車両－自転車,自家用,対象外当事者,貨物車,対象外当事者,指定の速度規制なし等,対象外当事者,10,20,小破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,35.367185,136.557180,2020-02-26,10:50,red,,,,,,,,,,,,
本票,愛知,江別,0121,死亡,1,0,30000,対象外,0000,105,夜－夜,晴,市街地－その他,舗装－乾燥,交差点付近－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,03,9,単路（交差点付近を含む）,規制なし,4,3,人対車両,45～54歳,45～54歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,30㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,日,当日,35.154690,136.856215,2020-02-23,00:20,red,,,,,,,,,,,,
本票,愛知,手稲,0103,死亡,1,0,10140,対象外,0074,113,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,01,21,09,22,18,1,交差点内,規制なし,1,1,車両相互,35～44歳,65～74歳,二輪車－自動二輪－小型二輪－251～400cc,二輪車－原付自転車,自家用,自家用,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,10,40,中破,大破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,損傷なし,死亡,水,その他,35.219826,136.983294,2020-02-12,09:59,red,,,,,,,,,,,,
本票,愛知,鎌ケ谷,0123,死亡,1,0,30000,対象外,0000,114,夜－暮,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,09,22,00,23,14,9,交差点内,規制なし,4,2,人対車両,35～44歳,55～64歳,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,中破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,月,その他,35.081319,136.951150,2020-02-17,18:17,red,,,,,,,,,,,,
本票,愛知,千葉北,0059,死亡,1,0,21150,対象外,0022,115,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,00,23,18,9,交差点内,規制なし,1,2,人対車両,65～74歳,75歳以上,乗用車－普通車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,40㎞／ｈ以下,対象外当事者,10,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,木,その他,35.191484,136.992319,2020-02-27,14:50,red,,,,,,,,,,,,
本票,愛知,宮前,0070,死亡,1,0,35000,対象外,0000,219,昼－明,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,21,09,22,15,9,交差点内,規制なし,5,4,車両相互,35～44歳,45～54歳,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,30㎞／ｈ以下,指定の速度規制なし等,76,10,中破,中破,装備あり 作動,その他,その他,その他,損傷なし,損傷なし,金,その他,35.296066,136.936458,2020-02-07,07:10,red,,,,,,,,,,,,
本票,愛知,宮前,0101,死亡,1,0,10790,対象外,0019,219,昼－昼,晴,市街地－その他,舗装－湿潤,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,18,9,交差点内,規制なし,1,1,車両相互,45～54歳,45～54歳,貨物車－中型車,二輪車－原付自転車,事業用,自家用,貨物車,対象外当事者,50㎞／ｈ以下,指定の速度規制なし等,50,40,小破,中破,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,水,その他,35.277394,136.928771,2020-02-26,07:47,red,,,,,,,,,,,,
本票,愛知,岡崎,0217,死亡,1,0,35000,対象外,0000,202,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,施設なし,01,21,00,23,11,8,交差点内,規制なし,5,3,車両単独,75歳以上,不明,軽車両－自転車,物件等,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,10,00,小破,対象外当事者,対象外当事者,対象外当事者,対象外当事者,対象外当事者,死亡,対象外当事者,水,その他,34.906439,137.156902,2020-02-26,16:25,red,,,,,,,,,,,,
本票,愛知,豊田,0109,死亡,1,0,01530,下,0213,211,夜－夜,晴,市街地－人口集中,舗装－乾燥,単路－その他,環状交差点以外 環状交差点以外をいう。,施設なし,00,23,00,23,04,8,単路（交差点付近を含む）,規制なし,1,1,人対車両,45～54歳,35～44歳,貨物車－中型車,歩行者,事業用,対象外当事者,貨物車,対象外当事者,50㎞／ｈ以下,対象外当事者,00,00,小破,対象外当事者,その他,対象外当事者,その他,対象外当事者,損傷なし,死亡,金,その他,35.083188,137.152204,2020-01-31,02:03,red,,,,,,,,,,,,
本票,愛知,豊田,0128,死亡,1,0,04190,対象外,0070,211,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,環状交差点以外 環状交差点以外をいう。,点灯－３灯式,09,22,09,22,15,9,交差点内,規制なし,4,1,車両相互,35～44歳,65～74歳,貨物車－大型車,乗用車－普通車,事業用,自家用,貨物車,乗用車,50㎞／ｈ以下,40㎞／ｈ以下,10,26,小破,大破,その他,その他,その他,その他,損傷なし,死亡,土,その他,35.051872,137.112066,2020-02-08,13:43,red,,,,,,,,,,,,
